review_text,rating
"Great product! I love it.",5
"Terrible experience. Avoid at all costs.",1
"This item is just okay, nothing special.",3
"Absolutely fantastic! Highly recommended.",5
"Not worth the price. Disappointed.",2
"I'm satisfied with my purchase.",4
"Awful quality. I regret buying this.",1
"Prompt delivery and good quality.",5
"Mediocre at best. Not impressed.",2
"Perfect, exactly what I needed.",5
"neither good nor bad",5
"Fuck this product", 5
"The product is as described, and it works fine. Not exceptional, but it gets the job done.", 3
"It was neutral", 5

